sectors,ROE,EPS,FCF,Dividend,Income,CPI index,GDP,10-year treasury,direction
0,0.0000 ,1.6600,0.1490 ,0.0000 ,0.0510 ,221.3358333,150,149.9205273,1
0,2.8030 ,4.9400,0.0380 ,0.0000 ,0.1490 ,225.0064167,155,155.425811,3
0,0.3580 ,1.4100,(0.0190),0.0000 ,0.0420 ,229.7568333,162,161.9700735,0
0,0.5580 ,2.9400,0.0190 ,1.0000 ,0.0810 ,233.8104167,168,167.848492,1
0,0.0480 ,0.3100,(0.0070),0.2500 ,0.0090 ,237.9023333,175,175.271637,3
0,0.2750 ,1.8400,0.2990 ,0.2000 ,0.0490 ,242.2575,182,182.3830057,3
0,0.1590 ,1.1500,0.0640 ,0.0000 ,0.0300 ,247.6035833,187,187.4507569,3
0,0.2390 ,1.9300,0.0010 ,0.0000 ,0.0490 ,252.1525,195,195.4297918,3
0,0.1030 ,0.9200,0.0290 ,0.0000 ,0.0230 ,257.5615,206,206.1186093,3
0,0.0020 ,0.0100,0.0260 ,0.0000 ,0.0000 ,263.2050833,214,214.332247,3
0,(0.0400),-0.3200,0.0330 ,(0.7500),(0.0100),267.6983333,210,209.5303,0
0,0.1970 ,56.6200,0.0740 ,0.0000 ,0.0460 ,221.3358333,150,149.9205273,3
0,0.2440 ,2.8900,0.0780 ,0.0000 ,0.0610 ,225.0064167,155,155.425811,3
0,0.1610 ,4.5800,(0.0630),0.0000 ,0.0410 ,229.7568333,162,161.9700735,0
0,0.1330 ,2.9200,(0.0040),0.0000 ,0.0340 ,233.8104167,168,167.848492,1
0,0.1010 ,2.3800,(0.0310),0.0000 ,0.0250 ,237.9023333,175,175.271637,2
0,0.2510 ,1.6500,0.0350 ,0.1500 ,0.0710 ,242.2575,182,182.3830057,3
0,0.2200 ,5.9100,(0.0180),0.1010 ,0.0630 ,247.6035833,187,187.4507569,0
0,0.0080 ,6.0000,(0.0900),0.0000 ,(0.0270),252.1525,195,195.4297918,1
0,0.2040 ,-2.6000,(0.0330),0.0000 ,0.0540 ,257.5615,206,206.1186093,2
0,0.1500 ,5.5300,(0.0450),0.0000 ,0.0490 ,263.2050833,214,214.332247,3
0,0.1320 ,4.5700,(0.0690),(0.7500),0.0520 ,267.6983333,210,209.5303,0
0,0.0230 ,1.4400,0.0010 ,(0.5500),0.0110 ,221.3358333,150,149.9205273,1
0,0.0430 ,3.1400,(0.0160),0.1110 ,0.0210 ,225.0064167,155,155.425811,1
0,0.0340 ,2.2000,(0.0220),0.0000 ,0.0150 ,229.7568333,162,161.9700735,0
0,0.0910 ,6.4600,0.0080 ,0.8000 ,0.0440 ,233.8104167,168,167.848492,2
0,0.1420 ,11.5000,0.0320 ,0.8330 ,0.0710 ,237.9023333,175,175.271637,0
0,0.1400 ,12.5200,0.0020 ,0.2120 ,0.0800 ,242.2575,182,182.3830057,3
0,0.1380 ,12.3100,(0.0270),0.0500 ,0.0810 ,247.6035833,187,187.4507569,1
0,0.1080 ,11.1500,0.0330 ,0.0000 ,0.0660 ,252.1525,195,195.4297918,0
0,0.1380 ,14.9900,0.0010 ,0.0480 ,0.0850 ,257.5615,206,206.1186093,1
0,0.1010 ,11.6100,(0.0160),0.0000 ,0.0620 ,263.2050833,214,214.332247,1
0,0.1020 ,13.4200,(0.3790),0.0000 ,0.0680 ,267.6983333,210,209.5303,0
1,0.0900 ,2.5300,0.0760 ,0.0210 ,0.0840 ,221.3358333,150,149.9205273,0
1,0.1110 ,4.0200,0.0780 ,0.0620 ,0.1280 ,225.0064167,155,155.425811,0
1,0.0840 ,2.6000,0.0200 ,0.0490 ,0.0840 ,229.7568333,162,161.9700735,0
1,0.0940 ,3.0400,0.0000 ,0.0270 ,0.1000 ,233.8104167,168,167.848492,0
1,0.0970 ,3.3400,(0.0210),0.0390 ,0.1000 ,237.9023333,175,175.271637,0
1,0.1020 ,4.1700,0.0110 ,0.0500 ,0.1240 ,242.2575,182,182.3830057,0
1,0.0350 ,1.2400,(0.1460),0.0570 ,0.0370 ,247.6035833,187,187.4507569,0
1,0.1080 ,3.8800,0.0040 ,0.0540 ,0.1240 ,252.1525,195,195.4297918,1
1,0.1030 ,3.9000,(0.1280),0.0560 ,0.1190 ,257.5615,206,206.1186093,0
1,0.0980 ,3.8800,(0.0740),0.0650 ,0.1230 ,263.2050833,214,214.332247,2
1,0.1080 ,4.4200,(0.1490),0.0590 ,0.1470 ,267.6983333,210,209.5303,2
1,0.0590 ,3.0000,(0.0610),0.0320 ,0.0940 ,221.3358333,150,149.9205273,0
1,0.0750 ,3.8300,(0.0410),0.0210 ,0.1200 ,225.0064167,155,155.425811,0
1,0.0500 ,3.0700,(0.0940),0.0200 ,0.1010 ,229.7568333,162,161.9700735,0
1,0.0630 ,3.7600,0.0200 ,0.0200 ,0.1200 ,233.8104167,168,167.848492,0
1,0.0620 ,2.6600,0.0410 ,0.0190 ,0.0860 ,237.9023333,175,175.271637,2
1,0.0660 ,4.0500,0.0700 ,0.0290 ,0.1280 ,242.2575,182,182.3830057,0
1,0.0640 ,3.1100,0.0450 ,0.0370 ,0.0960 ,247.6035833,187,187.4507569,0
1,0.0740 ,4.3600,(0.0150),0.0390 ,0.1320 ,252.1525,195,195.4297918,2
1,0.0610 ,3.7600,(0.0540),0.0430 ,0.1110 ,257.5615,206,206.1186093,0
1,0.0780 ,5.0600,(0.0740),0.0300 ,0.1520 ,263.2050833,214,214.332247,2
